before,after
"生存、尊严、自由，哪个不比名利重要，他可以出卖自己的尊严就以为别人就跟他一样了吗，真的是蛆者见蛆
",生存 、 尊严 、 自由 ， 名利 ， 出卖 尊严 ， 蛆者 蛆 
"男权这门生意下两大支柱业务：结婚  生娃
",男权 这门 生意 两大 支柱 业务 ： 结婚     生娃 
"""反基是反动吧女权主义那坨日本女人的论调，再说一遍它们是隶属于百度反动吧西方世界的，连日本之家都把它们叫兄弟，懂吗？村狗！中国自己的女权只有女权之声 新媒体女性 吕频等懂事吗",""" 反基 反动 女权主义 坨 日本 女人 论调 ， 一遍 隶属于 百度 反动 西方 世界 ， 日本 之家 兄弟 ， 懂吗 ？ 村狗 ！ 中国 女权 女权 之声   新 媒体 女性   吕频 懂事 "
"您这长相！好意思要么？漂亮有资本的女人从来不用自己要别人柜给的，这点你要🈶️自知之明。
",长相 ！ 好意思 ？ 漂亮 资本 女人 从来不 柜 ， 🈶 ️ 自知之明 。 
"是阿！不激进就觉得你拖了女性后腿……我???但可能这就是一个运动的发展规律吧😂
",！ 激进 拖 女性 后腿 … … ? ? ? 运动 发展 规律 😂 
"出生率还行。主要是部分人只想要男孩，导致不平衡。但是女权就不一样了，直接把所有家庭都批判一遍。这TM不是自己树敌吗？还能收到别人认可?什么义务也是真的冤，明明是人的本质就喜欢这样。男的应该怎么样怎么样，女的应该怎么怎么样。可女权又来了，我能生孩子，所以应该怎么怎么样的只有你们男的。
",出生率 行 。 想要 男孩 ， 导致 平衡 。 女权 ， 家庭 批判 一遍 。 TM 树敌 ？ 收到 认可 ? 义务 冤 ， 明明 本质 喜欢 。 男 ， 女 。 女权 ， 能生 孩子 ， 男 。 
"然而多的是打着女权的口号，实则自怨自艾，更有甚者觉得推行女权就是女性什么都不需要做，所有事物都应男性去做，我不反对女权，但是现在的问题就在于，女性的方向在越走越偏，趋于偏激，而且不是个例，是普遍现象，导致我现在很反感张口闭口女权的女性
",打着 女权 口号 ， 实则 自怨自艾 ， 更有甚者 推行 女权 女性 做 ， 事物 应 男性 做 ， 反对 女权 ， ， 女性 方向 越 走 越 偏 ， 趋于 偏激 ， 个例 ， 普遍现象 ， 导致 反感 张口 闭口 女权 女性 
"婚恋网有人联系我，我第一句问她对直男癌和家庭主妇的看法。可筛选掉99%左女
",婚恋 网 有人 ， 第一句 问 直 男癌 家庭主妇 看法 。 筛选 掉 99% 左女 
"放在时间轴上，有这样的派系很合理，过去还有过“为了让女性能更好的当母亲，应该赋予女性受教育权”的派系呢。可放在现在，不反婚，你只能跟她说，“你out了”或者“你是不是傻”。
",放在 时间轴 ， 派系 ， “ 女性 更好 母亲 ， 赋予 女性 受 教育权 ” 派系 。 放在 ， 反婚 ， ， “ out ” “ 傻 ” 。 
"划重点   刘强东在车上就想车震，司机熟视无睹，看来表面兄弟刘强东不是第一次干这个事，后来在寓所强行发生性行为，并且在被害人腹部及床单射精，   后女生报警，被抓时只穿了T恤衫，裤子还是警察给他穿的
",划 重点       刘强 东 车上 想 车震 ， 司机 熟视无睹 ， 表面 兄弟 刘强 东 第一次 干 事 ， 寓所 强行 性行为 ， 被害人 腹部 床单 射精 ，       女生 报警 ， 抓时 穿 T恤衫 ， 裤子 警察 穿 
"我反而理解不了郑秀文原谅许志安，奶茶嘛，钱和利益肯定比感情更牢固
",理解 郑秀文 原谅 许志安 ， 奶茶 ， 钱 利益 感情 牢固 
"看哭了，可怜的姑娘，典型的亚洲人强权压迫下的帮凶及所谓的导师，都是披着人皮的畜生！
",哭 ， 可怜 姑娘 ， 典型 亚洲 强权 压迫 帮凶 导师 ， 披 皮 畜生 ！ 
"如果真是如女生所述，中间有不少求救和自救的机会，但女生都没有用。
",女生 所述 ， 求救 自救 机会 ， 女生 。 
"人家奶茶妹妹图的是刘强东的财你以为真图他人？
",奶茶 妹妹图 刘强 东 财 真图 ？ 
"一个女人去陪人家喝酒，跟人家上车，带人回自己住处，有机会不跑路，不让朋友报警，你告诉我这是强奸还是自己倒贴？我没说刘强东是好东西，但是这女的是不是有点太不自重了？
",女人 陪 喝酒 ， 上车 ， 带人 回 住处 ， 机会 跑 路 ， 不让 朋友 报警 ， 强奸 倒贴 ？ 刘强 东是 ， 这女 太 不自重 ？ 
"有那么长的时间不打电话报警，也不呼叫求救，事后再说自己怎么拒绝怎么感到受胁迫，这女的也是脑子被门夹了吧，当时坚定反抗，反抗不了坚决呼救，哪里还会被插入，哪里还有这么多屁事！
",长 时间 打电话 报警 ， 呼叫 求救 ， 事后 拒绝 受 胁迫 ， 这女 脑子 门 夹 ， 坚定 反抗 ， 反抗 呼救 ， 还会 插入 ， 屁事 ！ 
"其实，我觉得哈，以刘强东的文化程度，肯定特别喜欢睡读书的妹儿，特别是英语比母语中文还好的留学生，东东强奸妹儿的时候，妹儿尖叫声都是英语，东东就瞬间达到了人生的巅峰....缺什么就他妈想破坏什么，东东缺的就是文化，没文化真可怕……就喜欢在校园里强奸点读书人！
",， ， 刘强 东 文化 程度 ， 特别 喜欢 睡 读书 妹儿 ， 特别 英语 母语 中文 还好 留学生 ， 东东 强奸 妹儿 ， 妹儿 尖叫声 英语 ， 东东 瞬间 人生 巅峰 .... 缺什么 妈 想 破坏 ， 东东 缺 文化 ， 文化 真 可怕 … … 喜欢 校园 里 强奸 点 读书人 ！ 
"是刘强东和工作人员诱骗+胁迫将女生带到刘强东的公寓强奸了她
",刘强 东 工作人员 诱骗 + 胁迫 女生 带到 刘强 东 公寓 强奸 
"明明有妻女还要出去祸害其他女生，一群帮凶欺负一个女生，有钱有势就能胡作非为蔑视法律了吗？法律一定要还受害者一个公道！
",明明 妻女 祸害 女生 ， 一群 帮凶 欺负 女生 ， 有钱有势 胡作非为 蔑视 法律 ？ 法律 受害者 公道 ！ 
"我觉得你需要一个男人违背你的意志把你奸了，你才可能体会到强奸的感受~。还有多读点书，强奸≠出轨
",男人 违背 意志 奸 ， 体会 强奸 感受 ~ 。 多读 点书 ， 强奸 ≠ 出轨 
"苍蝇不叮， 东哥确实让全国人民失望了 ，肩负家庭责任 还有一大帮企业员工和全国人民的榜样，就要牺牲自己一些东西 别贪玩，更何况家有仙妻， 东哥这次...
",苍蝇 叮 ，   东哥 全国 人民 失望   ， 肩负 家庭 责任   一大帮 企业 员工 全国 人民 榜样 ， 牺牲   贪玩 ， 更何况 家有仙妻 ，   东哥 ... 
"""你是狗东操出来的么？你睁开你的狗眼看看！人家小姑娘要的是网约车，来的是狗东的大奔，还有狗东一个大男人加助理两个人绑架。你家女性全不是三岁孩子，你家女性全是三岁的藏獒好吧！扑上去能咬断狗东喉管，狗场一打二没输过。",""" 狗 东操 ？ 睁开 狗眼 ！ 小姑娘 网约车 ， 狗 东 奔 ， 狗东 男人 加 助理 绑架 。 你家 女性 全 三岁 孩子 ， 你家 女性 全是 三岁 藏獒 ！ 扑上去 咬断 狗东 喉管 ， 狗场 一打 二 没输 。 "
"""别人喜欢怎么说就怎么说吧，看过就算了，不记心，反正不是自己的。",""" 喜欢 ， 看过 ， 不记心 ， 反正 。 "
"从助手的行为看来刘强奸是个惯犯，当年奶茶估计也是这么搞到的吧。就冲着刘强奸好学生妹这口，奶茶就不应该毕业做一辈子学生妹，现在一毕业就成抹茶了吧
",助手 刘 强奸 惯犯 ， 当年 奶茶 估计 搞 。 冲着 刘 强奸 学生妹 这口 ， 奶茶 毕业 做 一辈子 学生妹 ， 毕业 成 抹 茶 
"""其实可能她有这个打算（贱价甩卖在美别墅），只是因为刘方面的公司目前处于一个低谷，再离婚那怕是会让大众对京东越发不看好。刘当然不会让她在这个节骨眼走，而且这时候抛弃刘也会落下个不义名声，最好是在京东状况回暖时离开才可彰显独立特性。关于郑和许，我不是很了解，最近曝光的出轨有点多.",""" 打算 （ 贱价 甩卖 美 别墅 ） ， 刘 公司 低谷 ， 离婚 那怕 大众 京东 越发 看好 。 刘 节骨眼 走 ， 这时候 抛弃 刘也会 落下 不义 名声 ， 京东 状况 回暖 时 彰显 独立 特性 。 郑和 许 ， ， 曝光 出轨 . "
"不说别的 她演技着实很糟糕好么 她主要的London fields伦敦战场明显需要她演出蛇蝎美人的感觉来 但依我看 这要是换成斯嘉丽或朱莉甚至是海瑟薇都会比她迷人耐看一万倍 没有演技和底蕴的支撑 空洞的眼神和浮于表面的性感毫无魅力可言 开场哇了之后 只剩下boring了 她也就适合街拍而已
",不说   演技 着实 糟糕   London   fields 伦敦 战场 演出 蛇蝎美人 感觉   依我看   换成 斯嘉丽 朱莉 海瑟薇 迷人 耐看 一万倍   演技 底蕴 支撑   空洞 眼神 浮于 表面 性感 魅力 可言   开场   剩下 boring   适合 街 拍 
"这女的豁出一切就是为了自己的私立
",这女 豁出 私立 
"我是个女生，也觉得她前妻挺不是人的，都净身出户了，还在卖惨内涵，男的青春不值钱一样
",女生 ， 前妻 挺 ， 净身 出户 ， 卖 惨 内涵 ， 男 青春 不值钱 
"""是啊 比强奸犯好~ 还有婚内出轨哦。","""   强奸犯 ~   婚内 出轨 。 "
"我以前大学的时候关注骚男，就觉得他老婆真的有丶问题，就是一个智商情商都低的丑八怪啊
",大学 关注 骚男 ， 老婆 丶 ， 智商 情商 低 丑八怪 
"我觉着如果骚男出轨了我都支持，如果是我老婆这么对我，就跟对仇人似的，我早不早了，爱滚哪里滚哪里
",觉着 骚男 出轨 支持 ， 老婆 ， 仇人 ， 早 不早了 ， 爱滚 滚 
"""不至于被榨光吧",""" 榨光 "
"赞了赞了，我觉得就北美这边而言喜欢化妆的应该更多吧？追求美没啥问题啊。而且这种罗圈话就是正反都可以说。欧美化妆那就是大胆追求美丽，不化妆就是素颜代表自信。中国女性化妆就是爱慕虚荣，不化妆就是被生活磨平了棱角连美都不要了。
",赞 赞 ， 北美 喜欢 化妆 ？ 追求 美 。 罗圈 话 正反 。 欧美 化妆 大胆 追求 美丽 ， 化妆 素颜 代表 自信 。 中国 女性 化妆 爱慕 虚荣 ， 化妆 生活 磨平 棱角 连美 。 
"""结婚男女双方的总体价值应该大致相等，如果这男的没有硬条件缺点，那他最大的缺点就是脑子瓦特，这么凶恶的岳父母也敢结亲",""" 结婚 男女双方 总体 价值 ， 男 硬 条件 缺点 ， 缺点 脑子 瓦特 ， 凶恶 岳父母 结亲 "
"女方特别好看、特别有事业心或者特别会花吧。。。
",女方 特别 好看 、 特别 事业心 特别 会花 。 。 。 
"只要女人提一个钱字，不管什么原因，男的都会说“你给你自己标好价了”，连强奸受害者也这样，更别说其他人了，在这一点上，男的跟疯狗一模一样
",女人 提 钱字 ， 原因 ， 男 “ 标好价 ” ， 强奸 受害者 ， 其他人 ， 一点 ， 男 疯狗 一模一样 
"这种或者那种典型的案例不仅仅说在女性身上才会发生的。女人嘛，本身的天性就爱唠叨，何况已作为母亲的女人。只要这个女人没有恶劣的言行，我相信这个女人的心地是善良的。
",典型 案例 女性 。 女人 ， 天性 爱 唠叨 ， 母亲 女人 。 女人 恶劣 言行 ， 女人 心地 善良 。 
"今天你妈头七  你妈在阴曹地府喊你给她烧纸呢
",妈头 七     妈 阴曹地府 喊 烧纸 
"事情发生后社会对他们（我觉得用这是不分男女的，受害者也有男性）的眼光是更可怕的伤害吧，大部分选择结束生命的都是因为那些异样的眼光，不管是同情的还是嫌弃的。以前我总是很义愤填膺的说男的都是原始动物，直到后来看了一篇文章，让我知道性侵是不分性别的，不管是柔软的女性还是强壮的男性。
",事情 社会 （ 不分 男女 ， 受害者 男性 ） 眼光 可怕 伤害 ， 选择 结束 生命 是因为 异样 眼光 ， 同情 嫌弃 。 义愤填膺 男 原始动物 ， 一篇 文章 ， 性侵 不分性别 ， 柔软 女性 强壮 男性 。 
"女权婊，是懒惰，垃圾的代名词，她们想享受富足的物质生活，又不想吃苦，现在多了一个不生小孩，是对国家和社会的不负责！自私自利，而且崇洋媚外！她们没有尊严，没有人格，有的只是被欲望控制的一副皮囊，以及不知所谓的优越感，从来不会想要是他父母不结婚，哪里来的她？
",女权 婊 ， 懒惰 ， 垃圾 代名词 ， 想 享受 富足 物质 生活 ， 不想 吃苦 ， 生小孩 ， 国家 社会 负责 ！ 自私自利 ， 崇洋媚外 ！ 尊严 ， 人格 ， 欲望 控制 一副 皮囊 ， 不知所谓 优越感 ， 从来不 想要 父母 结婚 ， ？ 
"我觉得有道理…你自己的条件都找不到条件好（令你满意的）伴侣生小孩，你买个精子卵子生基因好的小孩你就能带好吗…
",道理 … 条件 找 条件 （ 令 满意 ） 伴侣 生小孩 ， 买个 精子 卵子 生 基因 小孩 能带 … 
"不扯伦理法律，女性不想结婚，但是想要个孩子，刚好自身也有生理条件，那就买个精呗。跟男性不一样，因为男性本身没有生理条件，且精子和卵子的获取成本差距过大，所以男性鼓吹这类东西就很奇怪。代孕的话，不论男女，谁支持代孕谁的想法绝对就存在着问题，严重程度不等
",不扯 伦理 法律 ， 女性 不想 结婚 ， 想要 孩子 ， 生理 条件 ， 买 精 。 男性 ， 男性 生理 条件 ， 精子 卵子 获取 成本 差距 过大 ， 男性 鼓吹 类 奇怪 。 代孕 ， 男女 ， 支持 代孕 想法 ， 程度 
